""
"Year","GDP-US $ billion 2012","Population-US million","Defense - Federal $ billion 2012","","Defense - State $ billion 2012","","Defense - Local $ billion 2012","","Defense - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","7.66","a","0","","0","","7.66","a"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","7.74","a","0","","0","","7.74","a"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","6.69","a","0","","0","","6.69","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","6.58","i","0","","0","","6.58","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","6.61","i","0","","0","","6.61","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","6.76","i","0","","0","","6.76","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","6.73","i","0","","0","","6.73","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","6.52","i","0","","0","","6.52","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","6.73","i","0","","0","","6.73","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","6.96","i","0","","0","","6.96","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","6.98","i","0","","0","","6.98","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","7.25","i","0","","0","","7.25","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","7.18","i","0","","0","","7.18","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","7.35","a","0","","0","","7.35","a"
"1914","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","97.516","7.27","i","0","","0","","7.27","i"
"1915","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","98.885","7.04","i","0","","0","","7.04","i"
"1916","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","100.273","6.28","i","0","","0","","6.28","i"
"1917","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","101.680","19.12","i","0","","0","","19.12","i"
"1918","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","103.107","122.51","i","0","","0","","122.51","i"
"1919","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","104.554","171.62","i","0","","0","","171.62","i"
"1920","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","106.022","40.80","i","0","","0","","40.80","i"
"1921","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","107.626","30.32","i","0","","0","","30.32","i"
"1922","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","109.254","14.14","a","0","","0","","14.14","a"
"1923","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","110.908","13.43","i","0","","0","","13.43","i"
"1924","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","112.586","13.33","i","0","","0","","13.33","i"
"1925","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","114.290","12.91","i","0","","0","","12.91","i"
"1926","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","116.019","12.72","i","0","","0","","12.72","i"
"1927","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","117.775","12.97","a","0","","0","","12.97","a"
"1928","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","119.557","13.71","i","0","","0","","13.71","i"
"1929","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","121.366","14.57","i","0","","0","","14.57","i"
"1930","1015.1","123.203","16.13","i","0","","0","","16.13","i"
"1931","950","124.071","19.20","i","0","","0","","19.20","i"
"1932","827.5","124.945","23.25","a","0","","0","","23.25","a"
"1933","817.3","125.825","19.68","i","0","","0","","19.68","i"
"1934","905.6","126.712","14.67","a","0","","0","","14.67","a"
"1935","986.2","127.605","24.82","i","0","","0","","24.82","i"
"1936","1113.3","128.504","34.83","a","0","","0","","34.83","a"
"1937","1170.3","129.410","27.09","i","0","","0","","27.09","i"
"1938","1131.6","130.321","21.40","a","0","","0","","21.40","a"
"1939","1222.4","131.240","24.95","i","0","","0","","24.95","i"
"1940","1330.2","132.165","27.91","a","0","","0","","27.91","a"
"1941","1565.8","133.966","87.72","i","0","","0","","87.72","i"
"1942","1861.5","135.792","303.68","a","0","","0","","303.68","a"
"1943","2178.4","137.643","755.57","i","0","","0","","755.57","i"
