""
"Year","GDP-US $ billion 2012","Population-US million","Education - Federal $ billion 2012","","Education -  $ billion 2012","","Education - State $ billion 2012","","Education - Local $ billion 2012","","Education - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","0","","0","","0.32","i","4.94","i","5.27","i"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","0","","0","","0.36","i","5.01","i","5.37","i"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","0.09","a","-0.02","a","0.37","a","5.09","a","5.53","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","0.09","i","-0.02","i","0.40","i","5.24","i","5.70","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","0.09","i","-0.02","i","0.43","i","5.49","i","5.98","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","0.10","i","-0.03","i","0.46","i","5.85","i","6.39","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","0.10","i","-0.03","i","0.51","i","6.08","i","6.66","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","0.10","i","-0.03","i","0.53","i","6.16","i","6.76","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","0.11","i","-0.03","i","0.59","i","6.65","i","7.31","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","0.11","i","-0.04","i","0.64","i","7.16","i","7.88","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","0.13","i","-0.04","i","0.70","i","7.52","i","8.31","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","0.13","i","-0.04","i","0.79","i","8.13","i","9.01","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","0.12","i","-0.05","i","0.85","i","8.41","i","9.33","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","0.14","a","-0.05","a","0.95","a","8.99","a","10.02","a"
"1914","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","97.516","0.15","i","-0.05","i","1.06","i","10.05","i","11.21","i"
"1915","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","98.885","0.15","i","-0.07","i","1.16","i","10.97","i","12.21","i"
"1916","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","100.273","0.15","i","-0.06","i","1.16","i","10.98","i","12.23","i"
"1917","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","101.680","0.13","i","-0.05","i","1.06","i","10.05","i","11.19","i"
"1918","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","103.107","0.11","i","-0.05","i","1.03","i","9.71","i","10.81","i"
"1919","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","104.554","0.12","i","-0.05","i","1.14","i","10.69","i","11.90","i"
"1920","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","106.022","0.11","i","-0.05","i","1.13","i","10.59","i","11.79","i"
"1921","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","107.626","0.14","i","-0.07","i","1.49","i","14.01","i","15.58","i"
"1922","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","109.254","0.16","a","-0.08","a","1.78","a","16.72","a","18.59","a"
"1923","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","110.908","0.16","i","-0.08","i","1.83","i","17.17","i","19.08","i"
"1924","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","112.586","0.17","i","-0.09","i","1.96","i","18.35","i","20.39","i"
"1925","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","114.290","0.18","i","-0.09","i","2.05","i","19.02","i","21.16","i"
"1926","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","116.019","0.18","i","-0.10","i","2.15","i","19.98","i","22.22","i"
"1927","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","117.775","0.19","a","-0.11","a","2.34","a","21.60","a","24.03","a"
"1928","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","119.557","0.21","i","-0.11","i","2.40","i","21.48","i","23.97","i"
"1929","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","121.366","0.22","i","-0.11","i","2.48","i","21.46","i","24.04","i"
"1930","1015.1","123.203","0.25","i","-0.12","i","2.68","i","22.32","i","25.12","i"
"1931","950","124.071","0.30","i","-0.14","i","3.09","i","24.92","i","28.16","i"
"1932","827.5","124.945","0.36","a","-0.17","a","3.87","a","28.27","a","32.34","a"
"1933","817.3","125.825","1.86","i","-0.52","i","3.63","i","25.98","i","30.95","i"
"1934","905.6","126.712","3.19","a","-0.83","a","3.09","a","21.73","a","27.18","a"
"1935","986.2","127.605","3.79","i","-1.38","i","3.50","i","23.15","i","29.05","i"
"1936","1113.3","128.504","4.40","a","-1.93","a","3.90","a","24.68","a","31.05","a"
"1937","1170.3","129.410","3.83","i","-1.63","i","4.06","i","25.32","i","31.59","i"
"1938","1131.6","130.321","3.55","a","-1.45","a","4.49","a","27.76","a","34.35","a"
"1939","1222.4","131.240","4.04","i","-1.74","i","4.74","i","28.85","i","35.88","i"
"1940","1330.2","132.165","4.43","a","-1.99","a","4.85","a","29.25","a","36.54","a"
"1941","1565.8","133.966","3.20","i","-1.39","i","4.65","i","26.99","i","33.45","i"
"1942","1861.5","135.792","2.09","a","-0.85","a","4.38","a","24.61","a","30.23","a"
"1943","2178.4","137.643","2.10","i","-1.44","i","4.72","i","24.13","i","29.51","i"
"1944","2351.6","139.519","2.15","a","-2.02","a","5.12","a","24.14","a","29.40","a"
"1945","2328.6","141.421","3.62","i","-1.75","i","5.15","i","26.26","i","33.28","i"
"1946","2058.4","143.349","4.56","a","-1.35","a","4.69","a","25.68","a","33.58","a"
"1947","2034.8","145.303","13.30","i","-2.31","i","6.52","i","29.09","i","46.60","i"
"1948","2118.5","147.283","21.30","a","-3.23","a","8.34","a","33.17","a","59.59","a"
"1949","2106.6","149.291","21.64","i","-3.04","i","9.43","i","39.11","i","67.14","i"
"1950","2289.5","151.326","21.68","a","-2.82","a","10.37","a","44.44","a","73.67","a"
"1951","2473.8","153.917","15.66","a","-2.22","a","10.18","i","44.77","i","68.39","i"
"1952","2574.9","156.552","12.03","a","-3.06","a","10.47","a","47.84","a","67.29","a"
"1953","2695.6","159.232","8.55","a","-3.52","a","11.32","a","53.72","a","70.07","a"
"1954","2680","161.958","7.65","a","-3.26","a","11.70","a","60.68","a","76.77","a"
"1955","2871.2","164.731","8.93","a","-3.52","a","12.85","a","67.50","a","85.76","a"
"1956","2932.4","167.551","9.62","a","-3.49","a","13.95","a","72.31","a","92.40","a"
"1957","2994.1","170.420","9.90","a","-3.82","a","14.79","a","74.49","a","95.38","a"
"1958","2972","173.337","10.93","a","-5.27","a","16.84","a","81.48","a","103.98","a"
"1959","3178.2","176.305","10.12","a","-5.03","a","18.84","a","86.45","a","110.38","a"
"1960","3260","179.323","9.83","a","-5.71","a","20.41","a","92.10","a","116.62","a"
"1961","3343.5","181.588","10.23","a","-6.42","a","22.55","a","99.81","a","126.16","a"
"1962","3548.4","183.881","10.21","a","-6.87","a","25.09","a","105.45","a","133.88","a"
"1963","3702.9","186.204","11.57","a","-6.48","a","27.40","a","110.42","a","142.92","a"
"1964","3916.3","188.555","13.28","a","-7.84","a","31.27","a","119.13","a","155.83","a"
"1965","4170.8","190.937","16.46","a","-9.42","a","34.74","a","125.76","a","167.53","a"
"1966","4445.9","193.348","28.53","a","-16.47","a","41.39","a","140.55","a","194.00","a"
"1967","4567.8","195.790","39.04","a","-20.82","a","49.85","a","151.56","a","219.62","a"
"1968","4792.3","198.263","43.63","a","-24.08","a","55.82","a","153.85","a","229.23","a"
"1969","4942.1","200.766","41.21","a","-23.19","a","60.00","a","169.66","a","247.68","a"
"1970","4951.3","203.302","44.20","a","-26.96","a","63.57","a","179.63","a","260.44","a"
"1971","5114.3","205.515","47.67","a","-29.86","a","69.84","a","191.01","a","278.65","a"
"1972","5383.3","207.752","56.85","a","-29.65","a","72.94","a","200.14","a","300.29","a"
"1973","5687.2","210.013","54.68","a","-30.21","a","75.11","a","203.04","a","302.63","a"
"1974","5656.5","212.299","49.32","a","-28.80","a","74.92","a","202.69","a","298.13","a"
"1975","5644.8","214.609","57.16","a","-30.41","a","79.32","a","215.02","a","321.09","a"
"1976","5949","216.945","63.34","a","-31.35","a","84.08","a","224.63","a","340.70","a"
"1977","6224.1","219.307","66.32","a","-30.94","a","83.52","a","223.77","a","342.68","a"
"1978","6568.6","221.694","77.84","a","-31.97","a","84.95","a","224.43","a","355.25","a"
"1979","6776.6","224.107","81.29","a","-31.73","a","83.05","a","225.04","a","357.66","a"
"1980","6759.2","226.546","78.58","a","-34.15","a","84.87","a","230.26","a","359.55","a"
"1981","6930.7","228.670","74.82","a","-34.21","a","86.95","a","228.10","a","355.67","a"
"1982","6805.8","230.815","57.43","a","-29.50","a","87.52","a","226.50","a","341.95","a"
"1983","7117.7","232.979","54.52","a","-28.63","a","88.35","a","232.63","a","346.86","a"
"1984","7632.8","235.164","54.36","a","-29.02","a","92.34","a","240.58","a","358.26","a"
