""
"Year","GDP-US $ billion 2012","Population-US million","General Government - Federal $ billion 2012","","General Government -  $ billion 2012","","General Government - State $ billion 2012","","General Government - Local $ billion 2012","","General Government - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","0","","0","","0.53","i","2.45","i","2.98","i"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","0","","0","","0.52","i","2.52","i","3.03","i"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","0.74","a","0","","0.50","a","2.58","a","3.83","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","0.73","i","0","","0.50","i","2.55","i","3.78","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","0.73","i","0","","0.51","i","2.58","i","3.82","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","0.74","i","0","","0.52","i","2.64","i","3.91","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","0.73","i","0","","0.55","i","2.65","i","3.93","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","0.71","i","0","","0.53","i","2.57","i","3.81","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","0.73","i","0","","0.55","i","2.66","i","3.94","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","0.75","i","0","","0.59","i","2.78","i","4.12","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","0.75","i","0","","0.59","i","2.80","i","4.14","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","0.78","i","0","","0.63","i","2.90","i","4.31","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","0.76","i","0","","0.62","i","2.90","i","4.28","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","0.77","a","0","","0.65","a","2.98","a","4.41","a"
"1914","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","97.516","0.85","i","0","","0.70","i","3.07","i","4.62","i"
"1915","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","98.885","0.94","i","0","","0.71","i","3.09","i","4.74","i"
"1916","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","100.273","0.92","i","0","","0.67","i","2.84","i","4.44","i"
"1917","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","101.680","0.84","i","0","","0.59","i","2.40","i","3.84","i"
"1918","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","103.107","0.82","i","0","","0.54","i","2.13","i","3.49","i"
"1919","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","104.554","0.89","i","0","","0.57","i","2.17","i","3.62","i"
"1920","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","106.022","0.88","i","0","","0.52","i","1.98","i","3.38","i"
"1921","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","107.626","1.15","i","0","","0.67","i","2.41","i","4.23","i"
"1922","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","109.254","1.37","a","0","","0.75","a","2.65","a","4.76","a"
"1923","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","110.908","1.30","i","0","","0.78","i","2.71","i","4.80","i"
"1924","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","112.586","1.29","i","0","","0.84","i","2.90","i","5.04","i"
"1925","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","114.290","1.25","i","0","","0.88","i","2.99","i","5.12","i"
"1926","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","116.019","1.22","i","0","","0.94","i","3.14","i","5.29","i"
"1927","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","117.775","1.22","a","0","","1.03","a","3.38","a","5.63","a"
"1928","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","119.557","1.25","i","0","","1.05","i","3.44","i","5.74","i"
"1929","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","121.366","1.28","i","0","","1.09","i","3.51","i","5.88","i"
"1930","1015.1","123.203","1.36","i","0","","1.17","i","3.73","i","6.26","i"
"1931","950","124.071","1.56","i","0","","1.35","i","4.27","i","7.19","i"
"1932","827.5","124.945","1.82","a","0","","1.59","a","4.95","a","8.36","a"
"1933","817.3","125.825","1.66","i","0","","1.59","i","4.86","i","8.10","i"
"1934","905.6","126.712","1.37","a","0","","1.46","a","4.39","a","7.23","a"
"1935","986.2","127.605","1.75","i","0","","1.58","i","4.61","i","7.94","i"
"1936","1113.3","128.504","2.13","a","0","","1.71","a","4.86","a","8.69","a"
"1937","1170.3","129.410","2.17","i","0","","1.74","i","4.82","i","8.73","i"
"1938","1131.6","130.321","2.37","a","0","","1.89","a","5.13","a","9.39","a"
"1939","1222.4","131.240","2.36","i","0","","1.88","i","5.27","i","9.52","i"
"1940","1330.2","132.165","2.30","a","0","","1.82","a","5.30","a","9.42","a"
"1941","1565.8","133.966","2.59","i","0","","1.85","i","4.99","i","9.43","i"
"1942","1861.5","135.792","2.80","a","0","","1.84","a","4.64","a","9.29","a"
"1943","2178.4","137.643","3.96","i","0","","1.75","i","4.57","i","10.28","i"
"1944","2351.6","139.519","5.11","a","0","","1.70","a","4.58","a","11.39","a"
"1945","2328.6","141.421","4.84","i","0","","1.81","i","4.84","i","11.49","i"
"1946","2058.4","143.349","4.16","a","0","","1.74","a","4.62","a","10.52","a"
"1947","2034.8","145.303","3.69","i","0","","1.87","i","4.59","i","10.15","i"
"1948","2118.5","147.283","3.43","a","0","","2.05","a","4.74","a","10.23","a"
"1949","2106.6","149.291","3.71","i","0","","2.26","i","5.17","i","11.14","i"
"1950","2289.5","151.326","3.93","a","0","","2.42","a","5.53","a","11.88","a"
"1951","2473.8","153.917","3.90","a","0","","2.42","i","5.55","i","11.87","i"
"1952","2574.9","156.552","4.26","a","0","","2.53","a","5.83","a","12.63","a"
"1953","2695.6","159.232","4.17","a","0","","2.76","a","5.98","a","12.92","a"
"1954","2680","161.958","4.27","a","0","","2.88","a","6.56","a","13.71","a"
"1955","2871.2","164.731","4.10","a","0","","3.02","a","6.78","a","13.89","a"
"1956","2932.4","167.551","4.40","a","0","","3.11","a","7.07","a","14.58","a"
"1957","2994.1","170.420","4.30","a","0","","3.35","a","7.55","a","15.20","a"
"1958","2972","173.337","4.28","a","0","","3.51","a","7.87","a","15.66","a"
