""
"Year","GDP-US $ billion 2012","Population-US million","Health Care - Federal $ billion 2012","","Health Care -  $ billion 2012","","Health Care - State $ billion 2012","","Health Care - Local $ billion 2012","","Health Care - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","0","","0","","0.69","i","0.65","i","1.34","i"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","0","","0","","0.70","i","0.63","i","1.33","i"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","0.07","a","0","","0.70","a","0.61","a","1.38","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","0.06","i","0","","0.69","i","0.63","i","1.38","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","0.06","i","0","","0.71","i","0.63","i","1.40","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","0.06","i","0","","0.73","i","0.67","i","1.46","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","0.06","i","0","","0.76","i","0.70","i","1.52","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","0.06","i","0","","0.73","i","0.70","i","1.49","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","0.06","i","0","","0.77","i","0.75","i","1.59","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","0.07","i","0","","0.81","i","0.79","i","1.67","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","0.07","i","0","","0.83","i","0.83","i","1.72","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","0.07","i","0","","0.88","i","0.88","i","1.84","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","0.09","i","0","","0.88","i","0.90","i","1.87","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","0.09","a","0","","0.91","a","0.95","a","1.95","a"
"1914","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","97.516","0.10","i","0","","0.99","i","1.02","i","2.11","i"
"1915","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","98.885","0.13","i","0","","1.06","i","1.11","i","2.30","i"
"1916","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","100.273","0.13","i","0","","1.03","i","1.07","i","2.23","i"
"1917","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","101.680","0.14","i","0","","0.92","i","0.96","i","2.02","i"
"1918","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","103.107","0.17","i","0","","0.87","i","0.91","i","1.95","i"
"1919","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","104.554","0.26","i","0","","0.93","i","0.98","i","2.16","i"
"1920","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","106.022","0.34","i","0","","0.90","i","0.95","i","2.19","i"
"1921","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","107.626","0.61","i","0","","1.16","i","1.23","i","3.00","i"
"1922","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","109.254","1.02","a","0","","1.36","a","1.44","a","3.82","a"
"1923","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","110.908","0.95","i","0","","1.40","i","1.50","i","3.85","i"
"1924","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","112.586","0.92","i","0","","1.52","i","1.63","i","4.07","i"
"1925","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","114.290","0.87","i","0","","1.58","i","1.70","i","4.15","i"
"1926","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","116.019","0.83","i","0","","1.67","i","1.81","i","4.31","i"
"1927","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","117.775","0.81","a","0","","1.82","a","1.98","a","4.62","a"
"1928","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","119.557","0.90","i","0","","1.89","i","2.07","i","4.86","i"
"1929","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","121.366","0.99","i","0","","1.98","i","2.18","i","5.16","i"
"1930","1015.1","123.203","1.14","i","0","","2.16","i","2.39","i","5.69","i"
"1931","950","124.071","1.41","i","0","","2.52","i","2.80","i","6.72","i"
"1932","827.5","124.945","1.77","a","0","","2.99","a","3.35","a","8.11","a"
"1933","817.3","125.825","1.74","i","0","","2.99","i","3.26","i","7.99","i"
"1934","905.6","126.712","1.59","a","0","","2.75","a","2.91","a","7.25","a"
"1935","986.2","127.605","1.61","i","0","","2.83","i","3.07","i","7.51","i"
