""
"Year","GDP-US $ billion 2012","Population-US million","Interest - Federal $ billion 2012","","Interest - State $ billion 2012","","Interest - Local $ billion 2012","","Interest - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","0.93","a","0.25","i","1.25","i","2.43","i"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","0.73","a","0.25","i","1.26","i","2.23","i"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","0.63","a","0.24","a","1.27","a","2.14","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","0.59","i","0.23","i","1.32","i","2.14","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","0.57","i","0.22","i","1.36","i","2.15","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","0.55","i","0.24","i","1.47","i","2.27","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","0.52","i","0.23","i","1.52","i","2.27","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","0.48","i","0.22","i","1.56","i","2.26","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","0.47","i","0.24","i","1.67","i","2.38","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","0.46","i","0.24","i","1.80","i","2.50","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","0.45","i","0.23","i","1.90","i","2.58","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","0.43","i","0.23","i","2.06","i","2.72","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","0.40","i","0.24","i","2.13","i","2.77","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","0.40","a","0.24","a","2.29","a","2.93","a"
"1914","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","97.516","0.39","i","0.27","i","2.51","i","3.17","i"
"1915","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","98.885","0.36","i","0.30","i","2.71","i","3.37","i"
"1916","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","100.273","0.32","i","0.31","i","2.65","i","3.28","i"
"1917","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","101.680","0.29","i","0.29","i","2.39","i","2.96","i"
"1918","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","103.107","1.91","i","0.28","i","2.28","i","4.46","i"
"1919","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","104.554","6.14","i","0.30","i","2.46","i","8.90","i"
"1920","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","106.022","8.90","i","0.31","i","2.40","i","11.60","i"
"1921","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","107.626","10.22","i","0.41","i","3.12","i","13.75","i"
"1922","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","109.254","10.72","a","0.49","a","3.66","a","14.87","a"
"1923","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","110.908","9.91","i","0.54","i","3.85","i","14.30","i"
"1924","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","112.586","9.53","i","0.61","i","4.22","i","14.36","i"
"1925","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","114.290","8.89","i","0.68","i","4.50","i","14.07","i"
"1926","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","116.019","8.41","i","0.76","i","4.84","i","14.01","i"
"1927","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","117.775","8.18","a","0.89","a","5.37","a","14.44","a"
"1928","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","119.557","7.69","i","0.94","i","5.57","i","14.20","i"
"1929","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","121.366","7.27","i","1.00","i","5.81","i","14.08","i"
"1930","1015.1","123.203","7.14","i","1.10","i","6.31","i","14.55","i"
"1931","950","124.071","7.54","i","1.31","i","7.35","i","16.21","i"
"1932","827.5","124.945","8.09","a","1.59","a","8.72","a","18.40","a"
"1933","817.3","125.825","9.40","i","1.67","i","8.92","i","19.99","i"
"1934","905.6","126.712","9.95","a","1.61","a","8.41","a","19.97","a"
"1935","986.2","127.605","9.64","i","1.62","i","8.20","i","19.46","i"
"1936","1113.3","128.504","9.41","a","1.63","a","8.06","a","19.10","a"
"1937","1170.3","129.410","9.80","i","1.59","i","7.30","i","18.68","i"
"1938","1131.6","130.321","10.88","a","1.66","a","7.06","a","19.59","a"
"1939","1222.4","131.240","11.38","i","1.69","i","6.99","i","20.06","i"
"1940","1330.2","132.165","11.62","a","1.68","a","6.76","a","20.06","a"
"1941","1565.8","133.966","11.67","i","1.53","i","5.85","i","19.04","i"
"1942","1861.5","135.792","11.53","a","1.37","a","4.97","a","17.86","a"
"1943","2178.4","137.643","17.05","i","1.20","i","4.52","i","22.77","i"
"1944","2351.6","139.519","22.54","a","1.06","a","4.17","a","27.77","a"
"1945","2328.6","141.421","30.72","i","0.95","i","3.76","i","35.43","i"
"1946","2058.4","143.349","34.97","a","0.76","a","3.05","a","38.78","a"
"1947","2034.8","145.303","33.38","i","0.69","i","2.65","i","36.72","i"
"1948","2118.5","147.283","33.36","a","0.66","a","2.42","a","36.44","a"
"1949","2106.6","149.291","33.73","i","0.76","i","2.56","i","37.05","i"
"1950","2289.5","151.326","33.63","a","0.83","a","2.67","a","37.13","a"
"1951","2473.8","153.917","30.10","a","0.91","i","2.70","i","33.71","i"
"1952","2574.9","156.552","29.88","a","1.01","a","2.86","a","33.75","a"
"1953","2695.6","159.232","33.68","a","1.12","a","3.13","a","37.93","a"
"1954","2680","161.958","34.15","a","1.32","a","3.60","a","39.08","a"
"1955","2871.2","164.731","32.69","a","1.69","a","3.96","a","38.35","a"
"1956","2932.4","167.551","34.66","a","2.03","a","4.40","a","41.09","a"
"1957","2994.1","170.420","34.72","a","2.22","a","4.77","a","41.71","a"
"1958","2972","173.337","37.77","a","2.45","a","5.24","a","45.46","a"
"1959","3178.2","176.305","33.77","a","2.76","a","5.87","a","42.39","a"
"1960","3260","179.323","46.05","a","3.22","a","6.82","a","56.09","a"
"1961","3343.5","181.588","44.51","a","3.47","a","7.37","a","55.36","a"
"1962","3548.4","183.881","40.48","a","3.73","a","8.09","a","52.30","a"
"1963","3702.9","186.204","44.96","a","4.19","a","8.39","a","57.53","a"
"1964","3916.3","188.555","46.90","a","4.38","a","9.10","a","60.38","a"
"1965","4170.8","190.937","48.27","a","4.62","a","9.37","a","62.26","a"
"1966","4445.9","193.348","51.30","a","4.89","a","9.82","a","66.01","a"
"1967","4567.8","195.790","54.54","a","5.45","a","10.66","a","70.65","a"
"1968","4792.3","198.263","56.49","a","5.75","a","10.89","a","73.13","a"
"1969","4942.1","200.766","61.67","a","6.19","a","11.93","a","79.79","a"
"1970","4951.3","203.302","66.34","a","6.92","a","13.26","a","86.52","a"
"1971","5114.3","205.515","65.16","a","8.09","a","14.25","a","87.50","a"
"1972","5383.3","207.752","65.14","a","9.52","a","15.57","a","90.24","a"
"1973","5687.2","210.013","69.22","a","10.61","a","16.47","a","96.29","a"
"1974","5656.5","212.299","78.52","a","11.28","a","16.78","a","106.58","a"
"1975","5644.8","214.609","77.88","a","12.12","a","17.30","a","107.30","a"
"1976","5949","216.945","84.87","a","13.76","a","18.85","a","117.48","a"
"1977","6224.1","219.307","89.40","a","14.34","a","19.25","a","122.99","a"
"1978","6568.6","221.694","99.04","a","14.40","a","19.07","a","132.51","a"
"1979","6776.6","224.107","109.96","a","14.54","a","18.95","a","143.46","a"
"1980","6759.2","226.546","124.27","a","15.34","a","19.55","a","159.16","a"
"1981","6930.7","228.670","148.61","a","16.49","a","20.53","a","185.63","a"
"1982","6805.8","230.815","173.07","a","18.49","a","22.54","a","214.10","a"
"1983","7117.7","232.979","175.90","a","21.54","a","25.73","a","223.18","a"
"1984","7632.8","235.164","210.03","a","24.93","a","29.31","a","264.28","a"
"1985","7951.1","237.369","237.26","a","27.45","a","31.97","a","296.68","a"
"1986","8226.4","239.595","244.33","a","30.31","a","36.26","a","310.91","a"
"1987","8511","241.842","242.98","a","32.58","a","40.73","a","316.28","a"
"1988","8866.5","244.110","257.04","a","32.83","a","42.25","a","332.12","a"
"1989","9192.1","246.399","275.33","a","33.31","i","43.31","i","351.95","i"
"1990","9365.5","248.710","289.53","a","33.77","a","44.30","a","367.60","a"
"1991","9355.4","251.802","295.41","a","35.54","a","43.86","a","374.80","a"
"1992","9684.9","254.933","296.09","a","36.57","a","45.67","a","378.34","a"
"1993","9951.5","258.103","288.32","a","34.85","a","45.10","a","368.27","a"
"1994","10352.4","261.312","288.29","a","33.70","a","44.38","a","366.37","a"
"1995","10630.3","264.561","323.00","a","34.07","a","45.20","a","402.28","a"
"1996","11031.4","267.850","329.38","a","34.72","a","45.78","a","409.88","a"
"1997","11521.9","271.180","327.73","a","35.34","a","48.51","a","411.58","a"
"1998","12038.3","274.552","320.28","a","35.57","a","50.18","a","406.03","a"
"1999","12610.5","277.966","300.84","a","36.38","a","51.73","a","388.96","a"
"2000","13131","282.172","285.55","a","37.38","a","52.03","a","374.97","a"
"2001","13262.1","285.082","258.39","a","38.17","a","52.96","i","349.51","i"
"2002","13493.1","287.804","210.91","a","38.75","a","54.14","a","303.80","a"
"2003","13879.1","290.326","185.41","a","37.91","a","56.19","i","279.51","i"
"2004","14406.4","293.046","189.01","a","38.82","a","57.68","a","285.51","a"
"2005","14912.5","295.753","210.46","a","39.17","a","53.63","a","303.26","a"
"2006","15338.3","298.593","251.60","a","42.45","a","53.22","a","347.26","a"
"2007","15626","301.580","256.37","a","45.08","a","56.19","a","357.64","a"
"2008","15604.7","304.375","268.08","a","47.56","a","59.57","a","375.21","a"
"2009","15208.8","307.007","196.73","a","47.66","a","62.28","a","306.67","a"
"2010","15598.8","309.322","204.13","a","47.09","a","62.90","a","314.13","a"
"2011","15840.7","311.557","234.37","a","47.55","a","63.01","a","344.93","a"
"2012","16197","313.831","220.41","a","45.98","a","62.95","a","329.33","a"
"2013","16495.4","315.994","217.08","a","44.05","a","62.78","a","323.91","a"
"2014","16912","318.301","220.92","a","42.57","a","60.91","a","324.40","a"
"2015","17403.8","320.635","213.13","a","41.38","a","59.47","a","313.98","a"
"2016","17688.9","322.941","226.87","a","41.02","a","58.43","a","326.32","a"
"2017","18108.1","324.986","243.57","a","40.59","a","58.05","a","342.20","a"
"2018","18638.2","326.687","294.31","a","41.57","a","59.45","e","395.33","e"
"2019","19073.1","328.240","333.93","a","42.76","g","61.15","g","437.84","g"
"2020","19367.7","330.603","328.02","b","43.70","g","62.50","g","434.22","g"

"Legend:"
" a - actual reported"
" i - interpolated between actual reported values"
" e - estimated by usgovernmentspending.com"
" g - 'guesstimated' projection by usgovernmentspending.com"
" b - budgeted estimate in US FY21 budget"
"Data Sources for 1900:"
"GDP: ","https://www.measuringworth.org/usgdp/","Samuel H. Williamson, "What Was the U.S. GDP Then?" MeasuringWorth, 2015.",""
"Federal: ","https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html","Bicentennial Edition: Historical Statistics of the US, Colonial Times to 1970",""
