""
"Year","GDP-US $ billion 2012","Population-US million","Other Spending - Federal $ billion 2012","","Other Spending -  $ billion 2012","","Other Spending - State $ billion 2012","","Other Spending - Local $ billion 2012","","Other Spending - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","5.93","a","0","","0.46","i","3.77","i","10.16","i"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","5.92","a","0","","0.49","i","4.25","i","10.66","i"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","3.59","a","-0.11","a","0.52","a","4.96","a","8.96","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","3.67","i","-0.11","i","0.54","i","5.05","i","9.16","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","3.83","i","-0.11","i","0.61","i","5.27","i","9.60","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","4.08","i","-0.11","i","0.67","i","5.59","i","10.22","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","4.22","i","-0.11","i","0.74","i","5.75","i","10.60","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","4.26","i","-0.11","i","0.75","i","5.77","i","10.68","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","4.58","i","-0.11","i","0.83","i","6.19","i","11.48","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","4.92","i","-0.11","i","0.92","i","6.65","i","12.37","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","5.15","i","-0.11","i","0.97","i","6.85","i","12.87","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","5.55","i","-0.13","i","1.06","i","7.32","i","13.81","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","5.74","i","-0.12","i","1.07","i","7.52","i","14.22","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","6.11","a","-0.12","a","1.14","a","7.94","a","15.06","a"
"1914","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","97.516","6.60","i","-0.14","i","1.36","i","8.46","i","16.29","i"
"1915","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","98.885","7.01","i","-0.15","i","1.59","i","8.79","i","17.24","i"
"1916","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","100.273","6.79","i","-0.15","i","1.69","i","8.36","i","16.68","i"
"1917","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","101.680","6.00","i","-0.13","i","1.58","i","7.24","i","14.69","i"
"1918","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","103.107","5.64","i","-0.12","i","1.56","i","6.63","i","13.71","i"
"1919","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","104.554","6.01","i","-0.13","i","1.72","i","6.88","i","14.49","i"
"1920","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","106.022","5.78","i","-0.13","i","1.68","i","6.42","i","13.75","i"
"1921","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","107.626","7.42","i","-0.17","i","2.13","i","7.93","i","17.32","i"
"1922","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","109.254","6.86","a","-0.20","a","2.40","a","8.86","a","17.92","a"
"1923","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","110.908","7.03","i","-0.21","i","2.31","i","9.59","i","18.72","i"
"1924","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","112.586","7.51","i","-0.23","i","2.31","i","10.77","i","20.35","i"
"1925","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","114.290","7.78","i","-0.25","i","2.20","i","11.70","i","21.42","i"
"1926","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","116.019","8.16","i","-0.28","i","2.09","i","12.87","i","22.85","i"
"1927","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","117.775","8.82","a","-0.31","a","2.01","a","14.55","a","25.06","a"
"1928","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","119.557","9.01","i","-0.31","i","2.14","i","14.37","i","25.21","i"
"1929","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","121.366","9.25","i","-0.30","i","2.25","i","14.08","i","25.28","i"
"1930","1015.1","123.203","9.90","i","-0.31","i","2.46","i","14.14","i","26.18","i"
"1931","950","124.071","11.37","i","-0.35","i","2.87","i","15.00","i","28.90","i"
"1932","827.5","124.945","13.28","a","-0.39","a","3.13","a","15.79","a","31.81","a"
"1933","817.3","125.825","19.20","i","-1.20","i","2.79","i","15.36","i","36.15","i"
"1934","905.6","126.712","23.49","a","-1.90","a","3.19","a","13.72","a","38.50","a"
"1935","986.2","127.605","29.57","i","-2.15","i","3.73","i","14.54","i","45.69","i"
"1936","1113.3","128.504","35.66","a","-2.40","a","4.28","a","15.40","a","52.93","a"
"1937","1170.3","129.410","33.72","i","-1.92","i","5.26","i","15.73","i","52.79","i"
"1938","1131.6","130.321","34.22","a","-1.58","a","6.58","a","17.10","a","56.32","a"
"1939","1222.4","131.240","39.02","i","-2.07","i","7.04","i","18.03","i","62.02","i"
"1940","1330.2","132.165","42.92","a","-2.52","a","7.34","a","18.51","a","66.25","a"
"1941","1565.8","133.966","39.07","i","-2.34","i","7.37","i","17.30","i","61.40","i"
"1942","1861.5","135.792","35.12","a","-2.15","a","7.27","a","15.96","a","56.19","a"
"1943","2178.4","137.643","36.02","i","-2.51","i","7.80","i","15.39","i","56.70","i"
"1944","2351.6","139.519","37.56","a","-2.89","a","8.43","a","15.12","a","58.21","a"
"1945","2328.6","141.421","39.70","i","-2.26","i","9.55","i","17.28","i","64.27","i"
"1946","2058.4","143.349","37.91","a","-1.51","a","9.62","a","17.52","a","63.53","a"
"1947","2034.8","145.303","31.11","i","-1.30","i","12.86","i","20.09","i","62.76","i"
"1948","2118.5","147.283","26.56","a","-1.18","a","16.14","a","23.06","a","64.58","a"
"1949","2106.6","149.291","38.83","i","-1.47","i","16.20","i","25.94","i","79.51","i"
"1950","2289.5","151.326","50.44","a","-1.73","a","16.03","a","28.41","a","93.15","a"
"1951","2473.8","153.917","38.72","a","-2.15","a","14.43","i","28.33","i","79.33","i"
"1952","2574.9","156.552","35.67","a","-2.59","a","13.46","a","28.99","a","75.54","a"
"1953","2695.6","159.232","47.08","a","-2.26","a","13.59","a","30.04","a","88.44","a"
"1954","2680","161.958","56.85","a","-2.23","a","14.35","a","32.85","a","101.83","a"
"1955","2871.2","164.731","55.81","a","-2.52","a","14.60","a","37.08","a","104.98","a"
"1956","2932.4","167.551","56.27","a","-2.59","a","14.82","a","37.70","a","106.20","a"
"1957","2994.1","170.420","52.04","a","-3.30","a","15.29","a","41.94","a","105.97","a"
"1958","2972","173.337","52.42","a","-3.81","a","17.06","a","43.97","a","109.65","a"
"1959","3178.2","176.305","63.29","a","-4.15","a","17.73","a","46.30","a","123.17","a"
"1960","3260","179.323","57.87","a","-4.48","a","19.02","a","48.02","a","120.42","a"
"1961","3343.5","181.588","74.07","a","-5.04","a","19.84","a","52.70","a","141.57","a"
"1962","3548.4","183.881","52.99","a","-6.14","a","20.01","a","54.64","a","121.50","a"
"1963","3702.9","186.204","56.31","a","-8.56","a","21.65","a","55.77","a","125.18","a"
"1964","3916.3","188.555","73.17","a","-9.24","a","23.15","a","61.11","a","148.19","a"
"1965","4170.8","190.937","79.63","a","-10.36","a","24.31","a","66.26","a","159.84","a"
"1966","4445.9","193.348","84.70","a","-11.93","a","26.61","a","68.10","a","167.48","a"
"1967","4567.8","195.790","85.58","a","-13.77","a","29.10","a","68.84","a","169.75","a"
"1968","4792.3","198.263","89.76","a","-11.02","a","30.68","a","72.28","a","181.71","a"
"1969","4942.1","200.766","71.10","a","-14.82","a","32.33","a","77.00","a","165.61","a"
"1970","4951.3","203.302","78.11","a","-14.61","a","33.10","a","81.39","a","177.99","a"
"1971","5114.3","205.515","72.13","a","-16.99","a","32.11","a","91.11","a","178.36","a"
"1972","5383.3","207.752","80.33","a","-24.33","a","29.25","a","101.61","a","186.85","a"
"1973","5687.2","210.013","60.55","a","-21.83","a","30.03","a","108.72","a","177.47","a"
"1974","5656.5","212.299","51.78","a","-29.85","a","31.15","a","111.01","a","164.10","a"
"1975","5644.8","214.609","93.11","a","-35.21","a","37.10","a","118.68","a","213.68","a"
"1976","5949","216.945","91.81","a","-45.93","a","35.38","a","133.11","a","214.37","a"
"1977","6224.1","219.307","100.69","a","-54.71","a","41.44","a","138.13","a","225.55","a"
"1978","6568.6","221.694","138.51","a","-63.89","a","40.42","a","139.78","a","254.81","a"
"1979","6776.6","224.107","124.14","a","-63.05","a","47.04","a","143.28","a","251.41","a"
"1980","6759.2","226.546","126.39","a","-61.02","a","49.11","a","146.43","a","260.91","a"
"1981","6930.7","228.670","115.36","a","-60.00","a","51.00","a","151.68","a","258.05","a"
"1982","6805.8","230.815","114.22","a","-52.19","a","45.68","a","153.07","a","260.79","a"
"1983","7117.7","232.979","106.24","a","-50.51","a","50.80","a","157.11","a","263.64","a"
"1984","7632.8","235.164","88.91","a","-52.87","a","51.35","a","157.76","a","245.15","a"
"1985","7951.1","237.369","104.36","a","-55.27","a","58.74","a","163.45","a","271.28","a"
"1986","8226.4","239.595","114.77","a","-56.58","a","62.45","a","176.87","a","297.51","a"
"1987","8511","241.842","97.84","a","-57.29","a","65.48","a","186.98","a","293.00","a"
"1988","8866.5","244.110","106.02","a","-55.86","a","65.71","a","188.31","a","304.18","a"
"1989","9192.1","246.399","125.48","a","-30.70","i","68.19","i","194.59","i","357.57","i"
"1990","9365.5","248.710","182.82","a","-37.20","a","70.54","a","200.38","a","416.55","a"
"1991","9355.4","251.802","194.51","a","-37.89","a","72.13","a","204.91","a","433.66","a"
"1992","9684.9","254.933","99.57","a","-9.23","a","61.63","a","201.13","a","353.10","a"
