""
"Year","GDP-US $ billion 2012","Population-US million","Protection - Federal $ billion 2012","","Protection -  $ billion 2012","","Protection - State $ billion 2012","","Protection - Local $ billion 2012","","Protection - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","0","","0","","0.21","i","1.92","i","2.13","i"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","0","","0","","0.25","i","2.02","i","2.27","i"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","0.00","a","0","","0.31","a","2.12","a","2.43","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","0.00","i","0","","0.31","i","2.15","i","2.46","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","0.00","i","0","","0.33","i","2.20","i","2.52","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","0.00","i","0","","0.34","i","2.32","i","2.66","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","0.00","i","0","","0.35","i","2.38","i","2.73","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","0.00","i","0","","0.35","i","2.36","i","2.71","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","0.00","i","0","","0.37","i","2.50","i","2.86","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","0.00","i","0","","0.41","i","2.65","i","3.06","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","0.00","i","0","","0.41","i","2.71","i","3.12","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","0.00","i","0","","0.45","i","2.88","i","3.34","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","0.00","i","0","","0.45","i","2.95","i","3.40","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","0.05","a","0","","0.50","a","3.08","a","3.63","a"
"1914","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","97.516","0.07","i","0","","0.55","i","3.31","i","3.92","i"
"1915","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","98.885","0.07","i","0","","0.58","i","3.49","i","4.13","i"
"1916","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","100.273","0.07","i","0","","0.57","i","3.37","i","4.02","i"
"1917","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","101.680","0.07","i","0","","0.50","i","2.97","i","3.54","i"
"1918","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","103.107","0.07","i","0","","0.47","i","2.77","i","3.31","i"
"1919","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","104.554","0.08","i","0","","0.52","i","2.94","i","3.53","i"
"1920","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","106.022","0.09","i","0","","0.49","i","2.80","i","3.37","i"
"1921","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","107.626","0.12","i","0","","0.63","i","3.57","i","4.32","i"
"1922","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","109.254","0.15","a","0","","0.74","a","4.10","a","4.99","a"
"1923","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","110.908","0.16","i","0","","0.72","i","4.21","i","5.09","i"
"1924","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","112.586","0.17","i","0","","0.74","i","4.52","i","5.43","i"
"1925","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","114.290","0.18","i","0","","0.74","i","4.70","i","5.61","i"
"1926","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","116.019","0.19","i","0","","0.73","i","4.93","i","5.86","i"
"1927","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","117.775","0.21","a","0","","0.76","a","5.36","a","6.33","a"
"1928","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","119.557","0.23","i","0","","0.81","i","5.43","i","6.47","i"
"1929","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","121.366","0.25","i","0","","0.87","i","5.55","i","6.67","i"
"1930","1015.1","123.203","0.29","i","0","","0.97","i","5.88","i","7.13","i"
"1931","950","124.071","0.35","i","0","","1.17","i","6.73","i","8.24","i"
"1932","827.5","124.945","0.43","a","0","","1.42","a","7.77","a","9.62","a"
"1933","817.3","125.825","0.33","i","0","","1.34","i","7.60","i","9.27","i"
