""
"Year","GDP-US $ billion 2012","Population-US million","Transportation - Federal $ billion 2012","","Transportation -  $ billion 2012","","Transportation - State $ billion 2012","","Transportation - Local $ billion 2012","","Transportation - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","0","","0","","0.07","i","3.51","i","3.58","i"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","0","","0","","0.09","i","3.62","i","3.71","i"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","0.48","a","0.00","a","0.09","a","3.74","a","4.31","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","0.52","i","0.00","i","0.10","i","3.84","i","4.47","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","0.58","i","0.00","i","0.12","i","4.05","i","4.75","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","0.65","i","0.00","i","0.14","i","4.34","i","5.13","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","0.72","i","0.00","i","0.16","i","4.50","i","5.37","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","0.77","i","0.00","i","0.16","i","4.58","i","5.51","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","0.87","i","0.00","i","0.20","i","4.94","i","6.01","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","0.99","i","0.00","i","0.24","i","5.34","i","6.57","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","1.09","i","0.00","i","0.29","i","5.62","i","7.00","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","1.24","i","0.00","i","0.32","i","6.09","i","7.66","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","1.37","i","0.00","i","0.38","i","6.31","i","8.06","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","1.57","a","-0.02","a","0.45","a","6.78","a","8.78","a"
"1914","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","97.516","1.79","i","-0.03","i","0.58","i","7.45","i","9.79","i"
"1915","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","98.885","1.98","i","-0.05","i","0.74","i","8.02","i","10.69","i"
"1916","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","100.273","2.05","i","-0.07","i","0.87","i","7.89","i","10.73","i"
"1917","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","101.680","1.93","i","-0.08","i","0.92","i","7.10","i","9.86","i"
"1918","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","103.107","1.92","i","-0.12","i","1.04","i","6.76","i","9.60","i"
