""
"Year","GDP-US $ billion 2012","Population-US million","Welfare - Federal $ billion 2012","","Welfare -  $ billion 2012","","Welfare - State $ billion 2012","","Welfare - Local $ billion 2012","","Welfare - Total $ billion 2012",""
"1900","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","76.212","0","","0","","0.16","i","0.37","i","0.53","i"
"1901","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","77.680","0","","0","","0.18","i","0.47","i","0.65","i"
"1902","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","79.176","0.11","a","-0.02","a","0.22","a","0.59","a","0.90","a"
"1903","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","80.701","0.11","i","-0.02","i","0.21","i","0.58","i","0.88","i"
"1904","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","82.255","0.11","i","-0.02","i","0.22","i","0.57","i","0.88","i"
"1905","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","83.839","0.11","i","-0.02","i","0.22","i","0.59","i","0.89","i"
"1906","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","85.453","0.11","i","-0.03","i","0.23","i","0.58","i","0.90","i"
"1907","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","87.099","0.11","i","-0.03","i","0.22","i","0.57","i","0.87","i"
"1908","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","88.776","0.11","i","-0.03","i","0.24","i","0.59","i","0.91","i"
"1909","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","90.486","0.11","i","-0.03","i","0.24","i","0.59","i","0.91","i"
"1910","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","92.229","0.11","i","-0.04","i","0.25","i","0.59","i","0.92","i"
"1911","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","93.523","0.13","i","-0.04","i","0.27","i","0.61","i","0.97","i"
"1912","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","94.836","0.12","i","-0.03","i","0.26","i","0.61","i","0.95","i"
"1913","<a href="http://www.measuringworth.com/usgdp">MW gdp</a>","96.167","0.12","a","-0.03","a","0.28","a","0.62","a","0.98","a"
